Model,Dataset,Accuracy,Precision,Recall,F1,AUC,Uncertain (%)
Random Forest,Train,0.99912109375,0.9987840889352093,0.9996522948539638,0.9992180033017638,0.9999720704756805,0.5859375
Random Forest,Validation,0.618380062305296,0.6034883720930233,0.7769461077844312,0.6793193717277487,0.6629257718329574,39.40809968847352
Random Forest,Test,0.6369376479873717,0.6430180180180181,0.7997198879551821,0.7128589263420724,0.6574009350575674,40.331491712707184
XGBoost,Train,0.821875,0.7988435788192331,0.9127260083449235,0.8519961051606622,0.9119637376381832,39.16015625
XGBoost,Validation,0.6074766355140186,0.5995145631067961,0.7395209580838323,0.6621983914209115,0.6495645073489384,44.31464174454829
XGBoost,Test,0.6085240726124704,0.6279342723004695,0.7492997198879552,0.6832694763729247,0.6417187128015764,44.514601420678765
