,Train_Accuracy,Train_Precision_weighted,Train_Recall_weighted,Train_F1_weighted,Train_AUC,Val_Accuracy,Val_Precision_weighted,Val_Recall_weighted,Val_F1_weighted,Val_AUC,Test_Accuracy,Test_Precision_weighted,Test_Recall_weighted,Test_F1_weighted,Test_AUC
Stylometric Only,0.9933262146289376,0.9933234093689314,0.9933262146289376,0.9933240871932129,0.9986067845229286,0.7025,0.6797467567970575,0.7025,0.6639055585864096,0.6844444444444444,0.7181705809641533,0.7053273200089722,0.7181705809641533,0.6804486355622712,0.6953731964483907
TF-IDF Only,0.9885210891617725,0.9887459469857444,0.9885210891617725,0.9885576578678957,0.9987284698155575,0.78,0.7793859649122807,0.78,0.7611650485436893,0.8156801994301994,0.8022249690976514,0.802931085128416,0.8022249690976514,0.7887693346313097,0.8127497225305216
Combined TF-IDF + Stylometric,0.99359316604378,0.9935910898058605,0.99359316604378,0.9935918058140293,0.9990429046117103,0.7875,0.791920731707317,0.7875,0.7672977582039141,0.826965811965812,0.7935723114956736,0.8020705993455002,0.7935723114956736,0.7733670859690925,0.8095033296337404
